City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,medicine hat,50.0501,-110.6683,303.62,37,75,3.6,CA,1691617599
112,burutu,5.3509,5.5076,298.28,86,86,2.57,NG,1691617674
113,iskateley,67.6803,53.1512,284.52,86,30,2.85,RU,1691617478
114,udachny,66.4167,112.4,287.29,58,98,2.58,RU,1691617535
115,howard springs,-12.497,131.047,296.1,73,83,3.03,AU,1691617515
116,new norfolk,-42.7826,147.0587,285.88,79,100,3.2,AU,1691617560
117,ulsteinvik,62.3432,5.8487,284.76,91,100,5.81,NO,1691617486
118,buckhurst hill,51.6241,0.0326,292.31,79,24,3.09,GB,1691617674
119,hotan,37.0997,79.9269,300.48,27,45,2.56,CN,1691617598
120,nuuk,64.1835,-51.7216,278.49,93,100,6.69,GL,1691617392
121,island harbour,50.724,-1.2758,290.63,90,0,1.63,GB,1691617675
122,sinop,41.7711,34.8709,290.54,81,32,0.9,TR,1691617675
123,hammerfest,70.6634,23.6821,296.4,64,0,2.57,NO,1691617646
124,barra do corda,-5.5,-45.25,303.34,33,23,0.99,BR,1691617675
125,mahibadhoo,3.7833,72.9667,300.82,79,100,5.96,MV,1691617675
126,zaragoza,41.6561,-0.8773,306.4,44,20,7.2,ES,1691617675
127,grand forks,47.9417,-97.4337,296.11,46,75,5.14,US,1691617675
128,keflavik,64.0049,-22.5624,287.1,71,0,3.09,IS,1691617383
129,sitka,57.0531,-135.33,289.09,82,100,2.57,US,1691617398
130,tazovsky,67.4667,78.7,281.05,86,85,8.64,RU,1691617571
131,badger,64.8,-147.5333,296.0,78,100,2.06,US,1691617401
132,rio piracicaba,-19.9292,-43.1742,293.13,68,98,1.07,BR,1691617676
133,dryden,49.7833,-92.7503,290.31,59,100,4.12,CA,1691617432
134,twon-brass,4.3151,6.2418,298.54,85,84,5.67,NG,1691617676
135,kirensk,57.7853,108.1119,290.29,88,100,0.71,RU,1691617526
136,abra pampa,-22.7205,-65.697,286.41,8,14,1.44,AR,1691617676
137,pisco,-13.7,-76.2167,294.18,73,20,4.63,PE,1691617446
138,ust-nera,64.5667,143.2,290.42,56,11,1.47,RU,1691617528
139,talnakh,69.4865,88.3972,286.6,67,100,2.32,RU,1691617374
140,el burgo de osma,41.5862,-3.0652,295.94,49,28,1.67,ES,1691617677
141,callao,-12.0667,-77.15,295.31,68,100,6.17,PE,1691617494
142,berdigestyakh,62.0989,126.6992,288.78,57,14,3.54,RU,1691617677
143,bilibino,68.0546,166.4372,285.77,43,99,1.89,RU,1691617482
144,codrington,-38.2667,141.9667,283.11,80,60,7.5,AU,1691617379
145,malanville,11.8685,3.3899,297.88,87,15,3.19,BJ,1691617677
146,coquimbo,-29.9533,-71.3436,288.0,82,100,3.09,CL,1691617572
147,mount isa,-20.7333,139.5,281.02,81,6,0.0,AU,1691617432
148,dutse,11.7594,9.3392,297.11,81,98,3.27,NG,1691617678
149,fort mcmurray,56.7268,-111.381,287.92,88,100,6.69,CA,1691617389
150,bamboo flat,11.7,92.7167,300.59,82,100,6.3,IN,1691617518
151,manaquiri,-3.3167,-60.35,306.4,43,52,1.49,BR,1691617678
152,mezhdurechensk,53.6942,88.0603,285.82,93,34,1.24,RU,1691617678
153,soe,-9.8607,124.284,289.37,91,60,2.06,ID,1691617678
154,shijiang,27.0819,110.7933,297.82,93,0,0.36,CN,1691617678
155,timimoun,29.2639,0.231,311.36,10,0,3.09,DZ,1691617678
156,yaren,-0.5472,166.916,301.1,75,42,2.89,NR,1691617386
157,embalenhle,-26.5333,29.0667,281.24,94,21,2.31,ZA,1691617679
158,dolbeau-mistassini,48.8763,-72.212,294.41,76,93,2.08,CA,1691617655
159,jimma,7.6667,36.8333,288.11,98,94,0.69,ET,1691617679
160,palmer,42.1584,-72.3287,301.04,53,75,5.14,US,1691617309
161,hauterive,46.0901,3.4459,292.57,76,0,1.17,FR,1691617597
162,morehead city,34.7229,-76.726,305.18,70,0,5.66,US,1691617505
163,nemuro,43.3236,145.575,292.05,100,100,5.6,JP,1691617404
164,zhezqazghan,47.7833,67.7667,294.24,64,81,1.14,KZ,1691617679
165,patacamaya,-17.2333,-67.9167,285.65,41,47,4.3,BO,1691617680
166,luderitz,-26.6481,15.1594,295.6,45,84,2.82,NA,1691617587
167,stanley,54.868,-1.6985,290.25,84,75,2.57,GB,1691617384
168,qaqortoq,60.7167,-46.0333,280.27,79,15,1.8,GL,1691617523
169,tanhacu,-14.0214,-41.2481,297.25,51,48,5.55,BR,1691617680
170,concordia,-31.393,-58.0209,289.48,80,52,2.33,AR,1691617680
171,colipapa,9.4726,122.5616,299.82,81,99,0.54,PH,1691617680
172,cristalina,-16.7686,-47.6136,293.71,42,1,2.39,BR,1691617680
